N,S(r/min),ap(mm),ae(mm),F(mm/min),s(mm),MRR(mm3/min),G
,15000,1,1.45756,6500,0,157.902333,G02 X-83.35 Y-26.882 I13.089 J10.573
,15000,1,1.40977,6500,0,152.725083,G02 X-83.35 Y-26.882 I13.089 J10.573
,15000,1,1.3687,6500,0,148.275833,G02 X-83.35 Y-26.882 I13.089 J10.573
,15000,1,1.30494,6500,0,141.3685,G02 X-83.35 Y-26.882 I13.089 J10.573
,15000,1,1.29345,6500,0,140.12375,G02 X-83.35 Y-26.882 I13.089 J10.573
,15000,1,1.25003,6500,0,135.419917,G02 X-83.35 Y-26.882 I13.089 J10.573
,15000,1,1.21709,6500,0,131.851417,G02 X-83.35 Y-26.882 I13.089 J10.573
,15000,1,1.22302,6500,0,132.493833,G02 X-83.35 Y-26.882 I13.089 J10.573
,15000,1,1.21567,6500,0,131.697583,G02 X-83.35 Y-26.882 I13.089 J10.573
,15000,1,1.22338,6500,0,132.532833,G02 X-83.35 Y-26.882 I13.089 J10.573
,15000,1,1.26446,6500,0,136.983167,G02 X-83.35 Y-26.882 I13.089 J10.573
,15000,1,1.28384,6500,0,139.082667,G02 X-83.35 Y-26.882 I13.089 J10.573
,15000,1,1.30777,6500,0,141.675083,X-83.481 Y-24.749 I18.211 J2.186
,15000,1,1.33459,6500,0,144.580583,X-83.481 Y-24.749 I18.211 J2.186
,15000,1,1.39721,6500,0,151.364417,X-83.481 Y-24.749 I18.211 J2.186
,15000,1,1.49219,6500,0,161.653917,X-83.481 Y-24.749 I18.211 J2.186
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
,15000,1,1.50036,6500,0,162.539,G01 X-83.476 Y24.852
